party,region,result,council
 Партія захисників Вітчизни , Львівська область," 6,7 ",Бориславська міська рада
" Політична партія ""Наша Україна"" ", Львівська область," 6,7 ",Бориславська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Львівська область," 4,4 ",Бориславська міська рада
 Партія регіонів , Миколаївська область," 44,4 ",Очаківська міська рада
 Прогресивна соціалістична партія України , Луганська область," 3,3 ",Алчевська міська рада
" Політична партія ""Фронт Змін""  ", Луганська область," 1,7 ",Алчевська міська рада
 Республіканська Християнська партія , Львівська область," 3,3 ",Львівська міська рада
 Аграрна партія України , Львівська область," 1,1 ",Львівська міська рада
" Партія ""Реформи і порядок"" ", Львівська область," 1,1 ",Львівська міська рада
" Партія ""Національно-демократичне об'єднання ""Україна"" ", Львівська область, 2 ,Дрогобицька міська рада
 Партія промисловців і підприємців України , Львівська область, 2 ,Дрогобицька міська рада
 Політична партія Народний Рух України , Львівська область, 2 ,Дрогобицька міська рада
 Політична партія Українська Національна Асамблея , Львівська область, 2 ,Дрогобицька міська рада
 Партія регіонів , Львівська область," 2,2 ",Бориславська міська рада
" Політична партія ""За Україну!""  ", Львівська область," 2,2 ",Бориславська міська рада
" Українська республіканська партія ""Собор""  ", Львівська область," 2,2 ",Бориславська міська рада
" Політична партія ""Сильна Україна"" ", Миколаївська область," 22,2 ",Очаківська міська рада
 Партія Зелених України , Миколаївська область," 13,9 ",Очаківська міська рада
 Комуністична партія України , Миколаївська область," 8,3 ",Очаківська міська рада
" Партія ""Громадянська солідарність""  ", Миколаївська область," 5,6 ",Очаківська міська рада
" Політична партія ""За Україну!""  ", Львівська область," 1,1 ",Львівська міська рада
 Партія регіонів , Одеська область," 61,1 ",Южненська міська рада
 Партія регіонів , Одеська область," 77,8 ",Котовська міська рада
 Партія регіонів , Миколаївська область," 66,7 ",Миколаївська міська рада
 Партія регіонів , Миколаївська область," 76,3 ",Вознесенська міська рада
 Українська Народна Партія , Львівська область, 2 ,Дрогобицька міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 5,6 ",Очаківська міська рада
 Партія регіонів , Одеська область," 72,2 ",Іллічівська міська рада
 Народна Партія , Одеська область," 16,7 ",Южненська міська рада
" Партія ""Жінки за майбутнє"" Всеукраїнське політичне об'єднання ", Одеська область," 5,6 ",Южненська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 5,6 ",Южненська міська рада
 Комуністична партія України , Одеська область," 11,1 ",Котовська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 8,3 ",Котовська міська рада
 Народна Партія , Одеська область," 2,8 ",Котовська міська рада
 Партія регіонів , Одеська область," 58,1 ",Одеська міська рада
 Комуністична партія України , Миколаївська область," 6,7 ",Миколаївська міська рада
" Політична партія ""Фронт Змін""  ", Миколаївська область," 6,7 ",Миколаївська міська рада
" Політична партія ""Третя Сила""  ", Миколаївська область," 5,6 ",Миколаївська міська рада
" Політична партія ""Сильна Україна"" ", Миколаївська область," 7,9 ",Вознесенська міська рада
 Комуністична партія України , Миколаївська область," 5,3 ",Вознесенська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 5,3 ",Вознесенська міська рада
" Політична партія ""Фронт Змін""  ", Миколаївська область," 5,3 ",Вознесенська міська рада
 Молодіжна партія України , Одеська область," 8,3 ",Іллічівська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 8,3 ",Іллічівська міська рада
" Політична партія ""Сильна Україна"" ", Одеська область," 8,3 ",Іллічівська міська рада
" Партія ""Реформи і порядок"" ", Одеська область," 2,8 ",Іллічівська міська рада
" Політична партія ""Фронт Змін""  ", Одеська область," 5,6 ",Южненська міська рада
 Комуністична партія України , Одеська область," 2,8 ",Южненська міська рада
" Політична партія ""Сильна Україна"" ", Одеська область," 2,8 ",Южненська міська рада
 Партія регіонів , Одеська область, 62 ,Ізмаїльська міська рада
" Партія ""РОДИНА"" ", Одеська область, 12 ,Одеська міська рада
" Політична партія ""Сильна Україна"" ", Одеська область," 9,4 ",Одеська міська рада
" Політична партія ""Фронт Змін""  ", Одеська область," 8,5 ",Одеська міська рада
 Комуністична партія України , Одеська область," 3,4 ",Одеська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Миколаївська область," 4,4 ",Миколаївська міська рада
" Політична партія ""Сильна Україна"" ", Миколаївська область," 4,4 ",Миколаївська міська рада
 Партія Зелених України , Миколаївська область," 3,3 ",Миколаївська міська рада
" Партія  Політичне об’єднання ""Рідна Вітчизна"" ", Миколаївська область," 1,1 ",Миколаївська міська рада
" Політична партія ""Сильна Україна"" ", Одеська область, 20 ,Ізмаїльська міська рада
 Комуністична партія України , Одеська область, 4 ,Ізмаїльська міська рада
" Партія ""Руський блок""  ", Одеська область, 4 ,Ізмаїльська міська рада
 Партія Зелених України , Одеська область," 2,6 ",Одеська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область," 2,6 ",Одеська міська рада
 Самовисування , Одеська область," 1,7 ",Одеська міська рада
" Партія ""Справедливість""  ", Миколаївська область," 1,1 ",Миколаївська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 4 ,Ізмаїльська міська рада
" Політична партія ""Фронт Змін""  ", Одеська область, 4 ,Ізмаїльська міська рада
 Партія промисловців і підприємців України , Одеська область, 2 ,Ізмаїльська міська рада
 Народна Партія , Одеська область," ,9 ",Одеська міська рада
" Партія ""Справедливість""  ", Одеська область," ,9 ",Одеська міська рада
 Партія регіонів , Одеська область," 53,1 ",Білгород-Дністровська міська рада
 Комуністична партія України , Одеська область," 12,2 ",Білгород-Дністровська міська рада
" Політична партія ""Сильна Україна"" ", Одеська область," 12,2 ",Білгород-Дністровська міська рада
" Політична партія ""Фронт Змін""  ", Одеська область," 8,2 ",Білгород-Дністровська міська рада
 Партія регіонів , Донецька область," 69,4 ",Ясинуватська міська рада
 Партія регіонів , Полтавська область, 30 ,Лубенська міська рада
 Соціалістична партія України , Полтавська область, 45 ,Комсомольська міська рада
 Соціалістична партія України , Одеська область," 6,1 ",Білгород-Дністровська міська рада
 Політична партія малого і середнього бізнесу України , Одеська область," 4,1 ",Білгород-Дністровська міська рада
 Народна Партія , Одеська область, 2 ,Білгород-Дністровська міська рада
 Соціалістична партія України , Донецька область," 16,7 ",Ясинуватська міська рада
 Комуністична партія України , Донецька область," 11,1 ",Ясинуватська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,8 ",Ясинуватська міська рада
 Комуністична партія України , Полтавська область," 12,5 ",Лубенська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 12,5 ",Лубенська міська рада
" Політична партія ""Наша Україна"" ", Полтавська область, 10 ,Лубенська міська рада
 Партія регіонів , Полтавська область," 42,5 ",Комсомольська міська рада
 Комуністична партія України , Полтавська область," 7,5 ",Комсомольська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 2,5 ",Комсомольська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Одеська область, 2 ,Білгород-Дністровська міська рада
 Партія регіонів , Донецька область, 86 ,Шахтарська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область, 30 ,Кременчуцька міська рада
" Політична партія ""Сильна Україна"" ", Полтавська область, 10 ,Лубенська міська рада
 Українська Народна Партія , Полтавська область, 10 ,Лубенська міська рада
" Політична партія ""Фронт Змін""  ", Полтавська область, 5 ,Лубенська міська рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 2,5 ",Комсомольська міська рада
 Партія регіонів , Донецька область, 75 ,Харцизька міська рада
 Комуністична партія України , Донецька область, 12 ,Шахтарська міська рада
" Партія ""Руський блок""  ", Донецька область, 2 ,Шахтарська міська рада
 Партія регіонів , Полтавська область," 28,3 ",Кременчуцька міська рада
" Політична партія ""Рідне місто"" ", Полтавська область," 21,7 ",Кременчуцька міська рада
" Політична партія ""Фронт Змін""  ", Полтавська область, 5 ,Кременчуцька міська рада
 Комуністична партія України , Полтавська область," 3,3 ",Кременчуцька міська рада
 Єдиний Центр , Полтавська область," 2,5 ",Лубенська міська рада
 Народна Партія , Полтавська область," 2,5 ",Лубенська міська рада
 Політична партія Народний Рух України , Полтавська область," 2,5 ",Лубенська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 9,1 ",Харцизька міська рада
 Комуністична партія України , Донецька область," 6,8 ",Харцизька міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 4,5 ",Харцизька міська рада
" Партія ""Руський блок""  ", Донецька область," 2,3 ",Харцизька міська рада
" Політична партія ""Вітчизна"" ", Полтавська область," 3,3 ",Кременчуцька міська рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 3,3 ",Кременчуцька міська рада
 Єдиний Центр , Полтавська область," 1,7 ",Кременчуцька міська рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Полтавська область," 1,7 ",Кременчуцька міська рада
" Соціально-екологічна партія ""Союз. Чорнобиль. Україна."" ", Полтавська область," 2,5 ",Лубенська міська рада
 Соціалістична партія України , Донецька область," 2,3 ",Харцизька міська рада
 Українська соціал-демократична партія , Полтавська область," 1,7 ",Кременчуцька міська рада
 Партія регіонів , Полтавська область, 25 ,Миргородська міська рада
" Політична партія ""Рідне місто"" ", Полтавська область, 25 ,Миргородська міська рада
 Комуністична партія України , Полтавська область," 11,1 ",Миргородська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Полтавська область," 8,3 ",Миргородська міська рада
" Політична партія ""Наша Україна"" ", Полтавська область," 8,3 ",Миргородська міська рада
 Партія регіонів , Донецька область, 84 ,Торезька міська рада
 Партія регіонів , Донецька область," 73,7 ",Сніжнянська міська рада
 Партія регіонів , Донецька область," 79,3 ",Слов'янська міська рада
 Партія регіонів , Донецька область," 69,4 ",Селидівська міська рада
 Єдиний Центр , Полтавська область," 5,6 ",Миргородська міська рада
" Політична партія ""Третя Сила""  ", Полтавська область," 5,6 ",Миргородська міська рада
" Політична партія ""Фронт Змін""  ", Полтавська область," 5,6 ",Миргородська міська рада
 Комуністична партія України , Донецька область, 10 ,Торезька міська рада
" Політична партія ""Сильна Україна"" ", Донецька область, 4 ,Торезька міська рада
" ""Народна партія вкладників та соціального захисту"" ", Донецька область, 2 ,Торезька міська рада
 Народна Партія , Донецька область," 13,2 ",Сніжнянська міська рада
 Комуністична партія України , Донецька область," 5,3 ",Сніжнянська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 5,3 ",Сніжнянська міська рада
 Комуністична партія України , Донецька область," 10,3 ",Слов'янська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 3,4 ",Слов'янська міська рада
 Прогресивна соціалістична партія України , Донецька область," 3,4 ",Слов'янська міська рада
" Політична партія ""ДІТИ ВІЙНИ ""НАРОДНА ПАРТІЯ УКРАЇНИ"" ", Донецька область," 1,7 ",Слов'янська міська рада
 Партія регіонів , Донецька область," 72,2 ",Новогродівська міська рада
 Комуністична партія України , Донецька область," 11,1 ",Селидівська міська рада
" Партія ""Справедливість""  ", Донецька область," 8,3 ",Селидівська міська рада
 Єдиний Центр , Донецька область," 5,6 ",Селидівська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,8 ",Селидівська міська рада
" Політична партія ""Сильна Україна"" ", Полтавська область," 2,8 ",Миргородська міська рада
 Соціалістична партія України , Полтавська область," 2,8 ",Миргородська міська рада
 Соціалістична партія України , Донецька область," 2,6 ",Сніжнянська міська рада
 Партія регіонів , Донецька область," 97,4 ",Макіївська міська рада
 Партія регіонів , Донецька область," 84,2 ",Маріупольська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 1,7 ",Слов'янська міська рада
 Комуністична партія України , Донецька область," 13,9 ",Новогродівська міська рада
 Партія захисників Вітчизни , Донецька область," 13,9 ",Новогродівська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 2,8 ",Селидівська міська рада
 Комуністична партія України , Донецька область," 2,6 ",Макіївська міська рада
 Комуністична партія України , Донецька область," 5,3 ",Маріупольська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 5,3 ",Маріупольська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,6 ",Маріупольська міська рада
 Соціалістична партія України , Донецька область," 2,6 ",Маріупольська міська рада
 Партія регіонів , Донецька область," 58,3 ",Кіровська міська рада
 Комуністична партія України , Донецька область," 27,8 ",Кіровська міська рада
" Політична партія ""Союз Лівих Сил"" ", Донецька область," 5,6 ",Кіровська міська рада
 Єдиний Центр , Донецька область," 2,8 ",Кіровська міська рада
 Партія регіонів , Донецька область, 85 ,Красноармійська міська рада
 Партія регіонів , Донецька область," 83,3 ",Краснолиманська міська рада
" Політична партія ""Нова політика"" ", Донецька область," 2,8 ",Кіровська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,8 ",Кіровська міська рада
 Комуністична партія України , Донецька область," 7,5 ",Красноармійська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область, 5 ,Красноармійська міська рада
 Ліберальна партія України , Донецька область," 2,5 ",Красноармійська міська рада
 Партія регіонів , Донецька область," 77,6 ",Краматорська міська рада
 Комуністична партія України , Донецька область," 11,9 ",Краснолиманська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 4,8 ",Краснолиманська міська рада
 Партія регіонів , Донецька область, 90 ,Єнакієвська міська рада
 Партія регіонів , Донецька область," 87,5 ",Костянтинівська міська рада
 Партія регіонів , Донецька область," 83,3 ",Жданівська міська рада
 Партія регіонів , Донецька область, 86 ,Дружківська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 8,2 ",Краматорська міська рада
 Комуністична партія України , Донецька область," 4,1 ",Краматорська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область," 4,1 ",Краматорська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 4,1 ",Краматорська міська рада
 Комуністична партія України , Донецька область, 8 ,Єнакієвська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область, 2 ,Єнакієвська міська рада
 Комуністична партія України , Донецька область, 10 ,Костянтинівська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 2,5 ",Костянтинівська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область, 10 ,Жданівська міська рада
 Комуністична партія України , Донецька область," 6,7 ",Жданівська міська рада
 Комуністична партія України , Донецька область, 10 ,Дружківська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область, 2 ,Дружківська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область, 2 ,Дружківська міська рада
 Прогресивна соціалістична партія України , Донецька область, 2 ,Краматорська міська рада
 Партія регіонів , Донецька область, 85 ,Докучаєвська міська рада
 Партія регіонів , Донецька область, 90 ,Добропільська міська рада
 Партія регіонів , Донецька область, 87 ,Дзержинська міська рада
 Партія регіонів , Донецька область, 87 ,Дебальцівська міська рада
 Партія регіонів , Донецька область," 83,3 ",Вугледарська міська рада
 Партія регіонів , Донецька область," 94,4 ",Донецька міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область, 5 ,Докучаєвська міська рада
 Прогресивна соціалістична партія України , Донецька область, 5 ,Докучаєвська міська рада
 Єдиний Центр , Донецька область," 2,5 ",Докучаєвська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,5 ",Докучаєвська міська рада
 Комуністична партія України , Донецька область," 7,5 ",Добропільська міська рада
" Партія ""Жінки за майбутнє"" Всеукраїнське політичне об'єднання ", Донецька область," 2,5 ",Добропільська міська рада
 Комуністична партія України , Донецька область," 6,5 ",Дзержинська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 4,3 ",Дзержинська міська рада
 Прогресивна соціалістична партія України , Донецька область," 2,2 ",Дзержинська міська рада
 Комуністична партія України , Донецька область," 8,7 ",Дебальцівська міська рада
 Народна Партія , Донецька область," 2,2 ",Дебальцівська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,2 ",Дебальцівська міська рада
 Соціалістична партія України , Донецька область, 10 ,Вугледарська міська рада
 Комуністична партія України , Донецька область," 6,7 ",Вугледарська міська рада
 Комуністична партія України , Донецька область," 3,3 ",Донецька міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 2,2 ",Донецька міська рада
 Партія регіонів , Донецька область," 87,5 ",Димитровська міська рада
 Партія регіонів , Донецька область," 77,3 ",Горлівська міська рада
" Політична партія ""Фронт Змін""  ", Донецька область," 12,5 ",Димитровська міська рада
" Політична партія ""Сильна Україна"" ", Донецька область," 9,3 ",Горлівська міська рада
 Комуністична партія України , Донецька область," 5,3 ",Горлівська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Донецька область," 2,7 ",Горлівська міська рада
" Політична партія ""Європейська партія України"" ", Донецька область," 2,7 ",Горлівська міська рада
 Єдиний Центр , Донецька область," 1,3 ",Горлівська міська рада
" Партія ""Справедливість""  ", Донецька область," 1,3 ",Горлівська міська рада
 Партія регіонів , Вінницька область," 33,3 ",Могилів-Подільська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Вінницька область," 22,2 ",Могилів-Подільська міська рада
" Політична партія ""Сильна Україна"" ", Вінницька область," 16,7 ",Могилів-Подільська міська рада
 Політична партія Народний Рух України за єдність , Вінницька область," 8,3 ",Могилів-Подільська міська рада
 Комуністична партія України , Вінницька область," 5,6 ",Могилів-Подільська міська рада
" Політична партія ""Фронт Змін""  ", Вінницька область," 5,6 ",Могилів-Подільська міська рада
 Народна Партія , Вінницька область," 2,8 ",Могилів-Подільська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Вінницька область, 50 ,Ладижинська міська рада
 Партія регіонів , Донецька область, 95 ,Артемівська міська рада
 Партія Зелених України , Вінницька область," 2,8 ",Могилів-Подільська міська рада
" Політична партія ""Наша Україна"" ", Вінницька область," 2,8 ",Могилів-Подільська міська рада
 Партія регіонів , Вінницька область," 33,3 ",Ладижинська міська рада
" Політична партія ""Фронт Змін""  ", Вінницька область," 5,6 ",Ладижинська міська рада
" Політична партія ""Сильна Україна"" ", Вінницька область," 2,8 ",Ладижинська міська рада
" Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Вінницька область," 2,8 ",Ладижинська міська рада
 Самовисування , Вінницька область," 2,8 ",Ладижинська міська рада
 Комуністична партія України , Донецька область, 5 ,Артемівська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Вінницька область, 25 ,Козятинська міська рада
 Партія регіонів , Вінницька область," 22,2 ",Жмеринська міська рада
" Українська республіканська партія ""Собор""  ", Вінницька область," 2,8 ",Ладижинська міська рада
 Партія регіонів , Дніпропетровська область, 70 ,Синельниківська міська рада
 Партія регіонів , Вінницька область," 17,5 ",Козятинська міська рада
" Політична партія ""Фронт Змін""  ", Вінницька область, 15 ,Козятинська міська рада
 Соціалістична партія України , Вінницька область, 15 ,Козятинська міська рада
" Українська партія ""Єдність"" ", Вінницька область, 10 ,Козятинська міська рада
 Комуністична партія України , Вінницька область," 7,5 ",Козятинська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Вінницька область," 19,4 ",Жмеринська міська рада
 Партія промисловців і підприємців України , Вінницька область," 11,1 ",Жмеринська міська рада
 Комуністична партія України , Вінницька область," 8,3 ",Жмеринська міська рада
" Політична партія ""Наша Україна"" ", Вінницька область," 8,3 ",Жмеринська міська рада
" Політична партія ""Фронт Змін""  ", Вінницька область," 8,3 ",Жмеринська міська рада
" Політична партія ""Нова політика"" ", Вінницька область," 5,6 ",Жмеринська міська рада
" Політична партія ""Україна Майбутнього"" ", Дніпропетровська область," 12,5 ",Синельниківська міська рада
 Комуністична партія України , Дніпропетровська область, 5 ,Синельниківська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область, 5 ,Синельниківська міська рада
" Політична партія ""Сильна Україна"" ", Дніпропетровська область, 5 ,Синельниківська міська рада
" Політична партія ""Фронт Змін""  ", Дніпропетровська область," 2,5 ",Синельниківська міська рада
 Партія регіонів , Дніпропетровська область," 69,4 ",Тернівська міська рада
" Політична партія ""Совість України"" ", Вінницька область, 66 ,Вінницька міська рада
" Партія ""ВІДРОДЖЕННЯ"" ", Вінницька область," 7,5 ",Козятинська міська рада
 Соціал-демократична партія України (об’єднана)  , Вінницька область," 2,5 ",Козятинська міська рада
 Соціалістична партія України , Вінницька область," 5,6 ",Жмеринська міська рада
 Народна Партія , Вінницька область," 2,8 ",Жмеринська міська рада
" Партія ""Народна влада"" ", Вінницька область," 2,8 ",Жмеринська міська рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Вінницька область," 2,8 ",Жмеринська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 11,1 ",Тернівська міська рада
 Комуністична партія України , Дніпропетровська область," 5,6 ",Тернівська міська рада
" Політична партія ""Сильна Україна"" ", Дніпропетровська область," 5,6 ",Тернівська міська рада
 Народна Партія , Дніпропетровська область," 2,8 ",Тернівська міська рада
" Політична партія ""Фронт Змін""  ", Дніпропетровська область," 2,8 ",Тернівська міська рада
 Партія регіонів , Вінницька область, 10 ,Вінницька міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Вінницька область, 10 ,Вінницька міська рада
" Політична партія Всеукраїнське об’єднання ""Свобода"" ", Вінницька область, 4 ,Вінницька міська рада
" Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка"" ", Вінницька область, 4 ,Вінницька міська рада
" Політична партія ""Фронт Змін""  ", Вінницька область, 4 ,Вінницька міська рада
 Самовисування , Вінницька область," 2,8 ",Жмеринська міська рада
 Християнсько-ліберальна партія України , Дніпропетровська область," 2,8 ",Тернівська міська рада
" Політична партія ""Сильна Україна"" ", Вінницька область, 2 ,Вінницька міська рада
 Партія регіонів , Дніпропетровська область," 58,3 ",Першотравенська міська рада
 Українська селянська демократична партія , Дніпропетровська область," 16,7 ",Першотравенська міська рада
 Комуністична партія України , Дніпропетровська область," 11,1 ",Першотравенська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 5,6 ",Першотравенська міська рада
 Християнсько-ліберальна партія України , Дніпропетровська область," 5,6 ",Першотравенська міська рада
" Політична партія ""Сильна Україна"" ", Дніпропетровська область," 2,8 ",Першотравенська міська рада
 Партія регіонів , Дніпропетровська область," 60,9 ",Орджонікідзевська міська рада
 Партія регіонів , Дніпропетровська область," 52,2 ",Павлоградська міська рада
 Комуністична партія України , Дніпропетровська область," 17,4 ",Орджонікідзевська міська рада
 Партія Зелених України , Дніпропетровська область," 6,5 ",Орджонікідзевська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,5 ",Орджонікідзевська міська рада
 Єдиний Центр , Дніпропетровська область," 2,2 ",Орджонікідзевська міська рада
 Народна Партія , Дніпропетровська область," 2,2 ",Орджонікідзевська міська рада
" Політична партія ""Сильна Україна"" ", Дніпропетровська область," 15,2 ",Павлоградська міська рада
" Політична партія ""Фронт Змін""  ", Дніпропетровська область," 8,7 ",Павлоградська міська рада
 Комуністична партія України , Дніпропетровська область," 6,5 ",Павлоградська міська рада
" Політична партія Всеукраїнське об’єднання ""Батьківщина"" ", Дніпропетровська область," 6,5 ",Павлоградська міська рада
" Політична партія ""Партія екологічного порятунку ""ЕКО+25%""  ", Дніпропетровська область," 4,3 ",Павлоградська міська рада
